NAME	Tissue	Cancer Type	Cancer Subtype	Sample Gender
BICR22_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	carcinoma	squamous_cell_carcinoma	M
BICR31_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	carcinoma	squamous_cell_carcinoma	M
BICR56_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	carcinoma	squamous_cell_carcinoma	F
BICR6_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	carcinoma	squamous_cell_carcinoma	M
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	Burkitt_lymphoma	M
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	Burkitt_lymphoma	M
BT20_BREAST	BREAST	carcinoma	ductal_carcinoma	F
BT474_BREAST	BREAST	carcinoma	ductal_carcinoma	F
BT483_BREAST	BREAST	carcinoma	ductal_carcinoma	F
BT549_BREAST	BREAST	carcinoma	ductal_carcinoma	F
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia	M
BXPC3_PANCREAS	PANCREAS	carcinoma	ductal_carcinoma	F
C2BBE1_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	M
C32_SKIN	SKIN	malignant_melanoma	NS	M
C3A_LIVER	LIVER	carcinoma	hepatocellular_carcinoma	M
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	Burkitt_lymphoma	M
CADOES1_BONE	BONE	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	F
CAKI1_KIDNEY	KIDNEY	carcinoma	clear_cell_renal_cell_carcinoma	M
CAKI2_KIDNEY	KIDNEY	carcinoma	clear_cell_renal_cell_carcinoma	M
CAL120_BREAST	BREAST	carcinoma	NS	F
CAL12T_LUNG	LUNG	carcinoma	non_small_cell_carcinoma	M
CAL148_BREAST	BREAST	carcinoma	ductal_carcinoma	F
CAL27_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	carcinoma	squamous_cell_carcinoma	M
CAL29_URINARY_TRACT	URINARY_TRACT	carcinoma	transitional_cell_carcinoma	F
CAL33_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	carcinoma	squamous_cell_carcinoma	M
CAL51_BREAST	BREAST	carcinoma	NS	F
CAL54_KIDNEY	KIDNEY	carcinoma	renal_cell_carcinoma	M
CAL62_THYROID	THYROID	carcinoma	anaplastic_carcinoma	F
CAL78_BONE	BONE	chondrosarcoma	dedifferentiated	M
CAL851_BREAST	BREAST	carcinoma	NS	F
CALU1_LUNG	LUNG	carcinoma	squamous_cell_carcinoma	M
CALU3_LUNG	LUNG	carcinoma	adenocarcinoma	M
CALU6_LUNG	LUNG	carcinoma	undifferentiated_carcinoma	F
CAMA1_BREAST	BREAST	carcinoma	NS	F
CAOV3_OVARY	OVARY	carcinoma	adenocarcinoma	F
CAOV4_OVARY	OVARY	carcinoma	adenocarcinoma	F
CAPAN1_PANCREAS	PANCREAS	carcinoma	ductal_carcinoma	M
CAPAN2_PANCREAS	PANCREAS	carcinoma	ductal_carcinoma	M
CAS1_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma_Grade_IV	M
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma	F
CCK81_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	
CFPAC1_PANCREAS	PANCREAS	carcinoma	ductal_carcinoma	M
CGTHW1_THYROID	THYROID	carcinoma	follicular_carcinoma	F
CHAGOK1_LUNG	LUNG	carcinoma	NS	M
CHL1_SKIN	SKIN	malignant_melanoma	NS	
CHP126_AUTONOMIC_GANGLIA	AUTONOMIC_GANGLIA	neuroblastoma	NS	F
CHP212_AUTONOMIC_GANGLIA	AUTONOMIC_GANGLIA	neuroblastoma	NS	
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	B_cell_lymphoma_unspecified	F
CJM_SKIN	SKIN	malignant_melanoma	NS	
CL11_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	
CL14_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	NS	M
CL34_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	F
CL40_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	NS	F
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia	F
COLO205_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	M
COLO320_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	F
COLO668_LUNG	LUNG	carcinoma	small_cell_carcinoma	F
COLO678_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	M
COLO679_SKIN	SKIN	malignant_melanoma	NS	F
COLO680N_OESOPHAGUS	OESOPHAGUS	carcinoma	squamous_cell_carcinoma	F
COLO684_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
COLO699_LUNG	LUNG	carcinoma	adenocarcinoma	F
COLO704_OVARY	OVARY	carcinoma	NS	F
COLO741_SKIN	SKIN	malignant_melanoma	NS	F
COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	chronic_myeloid_leukaemia	M
COLO783_SKIN	SKIN	malignant_melanoma	NS	F
COLO792_SKIN	SKIN	malignant_melanoma	NS	M
COLO800_SKIN	SKIN	malignant_melanoma	NS	
COLO818_SKIN	SKIN	malignant_melanoma	NS	
COLO829_SKIN	SKIN	malignant_melanoma	NS	M
COLO849_SKIN	SKIN	malignant_melanoma	NS	M
CORL105_LUNG	LUNG	carcinoma	adenocarcinoma	M
CORL23_LUNG	LUNG	carcinoma	large_cell_carcinoma	M
CORL24_LUNG	LUNG	carcinoma	small_cell_carcinoma	M
CORL279_LUNG	LUNG	carcinoma	small_cell_carcinoma	M
CORL311_LUNG	LUNG	carcinoma	small_cell_carcinoma	M
CORL47_LUNG	LUNG	carcinoma	small_cell_carcinoma	M
CORL51_LUNG	LUNG	carcinoma	small_cell_carcinoma	M
CORL88_LUNG	LUNG	carcinoma	small_cell_carcinoma	M
CORL95_LUNG	LUNG	carcinoma	small_cell_carcinoma	M
COV318_OVARY	OVARY	carcinoma	NS	F
COV362_OVARY	OVARY	carcinoma	NS	F
COV434_OVARY	OVARY	sex_cord-stromal_tumour	granulosa_cell_tumour	F
COV504_OVARY	OVARY	carcinoma	NS	F
COV644_OVARY	OVARY	carcinoma	NS	F
CPCN_LUNG	LUNG	carcinoma	small_cell_carcinoma	
CW2_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	NS	
D283MED_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	primitive_neuroectodermal_tumour-medulloblastoma	NS	M
D341MED_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	primitive_neuroectodermal_tumour-medulloblastoma	NS	M
DANG_PANCREAS	PANCREAS	carcinoma	NS	
DAOY_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	primitive_neuroectodermal_tumour-medulloblastoma	NS	M
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	Burkitt_lymphoma	M
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	M
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma_Grade_IV	F
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	NS	M
DETROIT562_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	carcinoma	NS	F
DKMG_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma_Grade_IV	F
DLD1_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	M
DM3_PLEURA	PLEURA	mesothelioma	NS	M
DMS114_LUNG	LUNG	carcinoma	small_cell_carcinoma	M
DMS153_LUNG	LUNG	carcinoma	small_cell_carcinoma	M
DMS273_LUNG	LUNG	carcinoma	small_cell_carcinoma	F
DMS454_LUNG	LUNG	carcinoma	small_cell_carcinoma	M
DMS53_LUNG	LUNG	carcinoma	small_cell_carcinoma	M
DMS79_LUNG	LUNG	carcinoma	small_cell_carcinoma	
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	M
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	M
DU145_PROSTATE	PROSTATE	carcinoma	NS	M
DU4475_BREAST	BREAST	carcinoma	ductal_carcinoma	F
DV90_LUNG	LUNG	carcinoma	adenocarcinoma	M
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	Burkitt_lymphoma	F
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	Burkitt_lymphoma	F
EBC1_LUNG	LUNG	carcinoma	squamous_cell_carcinoma	M
ECC10_STOMACH	STOMACH	carcinoma	small_cell_adenocarcinoma	
ECC12_STOMACH	STOMACH	carcinoma	small_cell_adenocarcinoma	
ECGI10_OESOPHAGUS	OESOPHAGUS	carcinoma	NS	
EFE184_ENDOMETRIUM	ENDOMETRIUM	carcinoma	NS	F
EFM192A_BREAST	BREAST	carcinoma	NS	F
EFM19_BREAST	BREAST	carcinoma	ductal_carcinoma	F
EFO21_OVARY	OVARY	carcinoma	serous_carcinoma	F
EFO27_OVARY	OVARY	carcinoma	mucinous_carcinoma	F
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	F
EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	F
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia	F
EN_ENDOMETRIUM	ENDOMETRIUM	carcinoma	NS	F
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	M
EPLC272H_LUNG	LUNG	carcinoma	squamous_cell_carcinoma	M
ES2_OVARY	OVARY	carcinoma	clear_cell_carcinoma	F
ESS1_ENDOMETRIUM	ENDOMETRIUM	carcinoma	carcinosarcoma-malignant_mesodermal_mixed_tumour	F
EVSAT_BREAST	BREAST	carcinoma	NS	F
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	M
FADU_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	carcinoma	squamous_cell_carcinoma	M
FTC133_THYROID	THYROID	carcinoma	follicular_carcinoma	M
FTC238_THYROID	THYROID	carcinoma	follicular_carcinoma	M
FU97_STOMACH	STOMACH	carcinoma	diffuse_adenocarcinoma	F
FUOV1_OVARY	OVARY	carcinoma	serous_carcinoma	F
G292CLONEA141B1_BONE	BONE	osteosarcoma	NS	F
G361_SKIN	SKIN	malignant_melanoma	NS	M
G401_SOFT_TISSUE	SOFT_TISSUE	rhabdoid_tumour	NS	M
G402_SOFT_TISSUE	SOFT_TISSUE	rhabdoid_tumour	NS	F
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	Burkitt_lymphoma	M
GAMG_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	NS	F
GB1_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma_Grade_IV	M
GCIY_STOMACH	STOMACH	carcinoma	adenocarcinoma	F
GCT_SOFT_TISSUE	SOFT_TISSUE	malignant_fibrous_histiocytoma-pleomorphic_sarcoma	NS	M
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	F
GI1_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	gliosarcoma	M
GMS10_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma_Grade_IV	M
GOS3_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma	M
GP2D_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	F
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	mantle_cell_lymphoma	F
GRM_SKIN	SKIN	malignant_melanoma	NS	M
GSS_STOMACH	STOMACH	carcinoma	adenocarcinoma	
GSU_STOMACH	STOMACH	carcinoma	adenocarcinoma	
H4_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	NS	M
HARA_LUNG	LUNG	carcinoma	squamous_cell_carcinoma	M
HCC1143_BREAST	BREAST	carcinoma	ductal_carcinoma	F
HCC1171_LUNG	LUNG	carcinoma	non_small_cell_carcinoma	M
HCC1187_BREAST	BREAST	carcinoma	ductal_carcinoma	F
HCC1195_LUNG	LUNG	carcinoma	mixed_adenosquamous_carcinoma	M
HCC1395_BREAST	BREAST	carcinoma	ductal_carcinoma	F
HCC1419_BREAST	BREAST	carcinoma	ductal_carcinoma	F
HCC1428_BREAST	BREAST	carcinoma	NS	F
HCC1500_BREAST	BREAST	carcinoma	ductal_carcinoma	F
HCC1569_BREAST	BREAST	carcinoma	metaplastic_carcinoma	F
HCC1599_BREAST	BREAST	carcinoma	ductal_carcinoma	F
HCC15_LUNG	LUNG	carcinoma	squamous_cell_carcinoma	M
HCC1806_BREAST	BREAST	carcinoma	ductal_carcinoma	F
HCC1937_BREAST	BREAST	carcinoma	ductal_carcinoma	F
HCC1954_BREAST	BREAST	carcinoma	ductal_carcinoma	F
HCC202_BREAST	BREAST	carcinoma	ductal_carcinoma	F
HCC2157_BREAST	BREAST	carcinoma	ductal_carcinoma	F
HCC2218_BREAST	BREAST	carcinoma	ductal_carcinoma	F
HCC2279_LUNG	LUNG	carcinoma	adenocarcinoma	F
HCC2935_LUNG	LUNG	carcinoma	non_small_cell_carcinoma	M
HCC33_LUNG	LUNG	carcinoma	small_cell_carcinoma	M
HCC366_LUNG	LUNG	carcinoma	mixed_adenosquamous_carcinoma	F
HCC38_BREAST	BREAST	carcinoma	ductal_carcinoma	F
HCC4006_LUNG	LUNG	carcinoma	adenocarcinoma	M
HCC44_LUNG	LUNG	carcinoma	adenocarcinoma	F
HCC56_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	
HCC70_BREAST	BREAST	carcinoma	ductal_carcinoma	F
HCC78_LUNG	LUNG	carcinoma	adenocarcinoma	M
HCC827_LUNG	LUNG	carcinoma	adenocarcinoma	F
HCC95_LUNG	LUNG	carcinoma	squamous_cell_carcinoma	M
HCT116_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	NS	M
HCT15_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	M
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	Hodgkin_lymphoma	M
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	Hodgkin_lymphoma	
HDQP1_BREAST	BREAST	carcinoma	ductal_carcinoma	F
HEC108_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
HEC151_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
HEC1A_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
HEC1B_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
HEC251_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
HEC265_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
HEC50B_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
HEC59_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
HEC6_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	M
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	M
HEP3B217_LIVER	LIVER	carcinoma	hepatocellular_carcinoma	M
HEPG2_LIVER	LIVER	carcinoma	hepatocellular_carcinoma	M
HEYA8_OVARY	OVARY	carcinoma	NS	F
HGC27_STOMACH	STOMACH	carcinoma	undifferentiated_adenocarcinoma	
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	adult_T_cell_lymphoma-leukaemia	M
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	F
HLC1_LUNG	LUNG	carcinoma	adenocarcinoma	
HLE_LIVER	LIVER	carcinoma	hepatocellular_carcinoma	M
HLFA_LUNG	LUNG	carcinoma	squamous_cell_carcinoma	F
HLF_LIVER	LIVER	carcinoma	hepatocellular_carcinoma	M
HMC18_BREAST	BREAST	carcinoma	NS	F
HMCB_SKIN	SKIN	malignant_melanoma	NS	
HN_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	carcinoma	squamous_cell_carcinoma	M
HOS_BONE	BONE	osteosarcoma	NS	F
HPAC_PANCREAS	PANCREAS	carcinoma	ductal_carcinoma	F
HPAFII_PANCREAS	PANCREAS	carcinoma	ductal_carcinoma	M
HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	M
HRT18_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	M
HS172T_URINARY_TRACT	URINARY_TRACT	carcinoma	NS	M
HS229T_LUNG	LUNG	carcinoma	adenocarcinoma	M
HS274T_BREAST	BREAST	carcinoma	NS	F
HS281T_BREAST	BREAST	carcinoma	NS	F
HS294T_SKIN	SKIN	malignant_melanoma	NS	M
HS343T_BREAST	BREAST	carcinoma	NS	F
HS571T_OVARY	OVARY	carcinoma	NS	F
HS578T_BREAST	BREAST	carcinoma	ductal_carcinoma	F
HS600T_SKIN	SKIN	malignant_melanoma	NS	
HS604T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	Hodgkin_lymphoma	M
HS606T_BREAST	BREAST	carcinoma	NS	F
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	Hodgkin_lymphoma	F
HS616T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	Hodgkin_lymphoma	M
HS618T_LUNG	LUNG	carcinoma	adenocarcinoma	F
HS675T_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	NS	M
HS683_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	NS	M
HS688AT_SKIN	SKIN	malignant_melanoma	NS	M
HS695T_SKIN	SKIN	malignant_melanoma	NS	M
HS698T_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	M
